category,username,wallet,profile_url,open_positions,open_cash_pnl,open_realized_pnl,open_initial_value,open_current_value,closed_positions,closed_pnl,total_pnl
"Mentions, Culture, Tech",aenews2,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,https://polymarket.com/profile/0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,25,2563.83,29163.45,898060.21,900624.03,50,0,2563.83
Tech,Euan,0xdd225a03cd7ed89e3931906c67c75ab31cf89ef1,https://polymarket.com/profile/0xdd225a03cd7ed89e3931906c67c75ab31cf89ef1,23,1190.11,1588.6,34451.52,35641.64,50,0,1190.11
Economics,0xe639e41094bbeae18g3e6d1790c17299183f082a,0xe639e41094bbeae18f3e6d1790c17299183f082a,https://polymarket.com/profile/0xe639e41094bbeae18f3e6d1790c17299183f082a,1,511.56,0,818058.74,818570.29,50,0,511.56
Mentions,ANudeEgg,0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7,https://polymarket.com/profile/0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7,4,229.53,0.71,764.21,993.74,50,0,229.53
Tech,MotherTheresa,0x42a6ddf7cf7032972b0bfe32775e8109c5171b64,https://polymarket.com/profile/0x42a6ddf7cf7032972b0bfe32775e8109c5171b64,5,178.46,1493.88,3857.78,4036.24,50,0,178.46
Mentions,BuckMySalls,0x509587cbb541251c74f261df3421f1fcc9fdc97c,https://polymarket.com/profile/0x509587cbb541251c74f261df3421f1fcc9fdc97c,2,50.76,0,832.44,883.2,0,0,50.76
Crypto,02a923d2f6edbc894e76357104e654b27a0d9071e,0x2a923d2f6edbc894e76357104e654b27a0d9071e,https://polymarket.com/profile/0x2a923d2f6edbc894e76357104e654b27a0d9071e,0,0,0,0,0,0,0,0
Crypto,0xa95bfdb,0xebf79787ab928c803cbef6fa8e0abe42b9e1da78,https://polymarket.com/profile/0xebf79787ab928c803cbef6fa8e0abe42b9e1da78,0,0,0,0,0,0,0,0
Finance,50Whence,0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,https://polymarket.com/profile/0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,0,0,0,0,0,50,0,0
"Politics, Crypto",alexmulti,0xd0c042c08f755ff940249f62745e82d356345565,https://polymarket.com/profile/0xd0c042c08f755ff940249f62745e82d356345565,0,0,0,0,0,6,0,0
Mentions,Anon1792681,0x2139ff880571f8223a56544ca433756b8d014b34,https://polymarket.com/profile/0x2139ff880571f8223a56544ca433756b8d014b34,0,0,0,0,0,50,0,0
Mentions,Axios,0x03626d34381b0337387b0e8464c898f772009661,https://polymarket.com/profile/0x03626d34381b0337387b0e8464c898f772009661,0,0,0,0,0,50,0,0
Mentions,bama124,0xe5c8026239919339b988fdb150a7ef4ea196d3e7,https://polymarket.com/profile/0xe5c8026239919339b988fdb150a7ef4ea196d3e7,0,0,0,0,0,50,0,0
Politics,BetTom42,0x885783760858e1bd5dd09a3c3f916cfa251ac270,https://polymarket.com/profile/0x885783760858e1bd5dd09a3c3f916cfa251ac270,0,0,0,0,0,7,0,0
Finance,chilling,0x5a181dcf3eb53a09fb32b20a5a9312fb8d26f689,https://polymarket.com/profile/0x5a181dcf3eb53a09fb32b20a5a9312fb8d26f689,0,0,0,0,0,50,0,0
Crypto,Circus,0x28065f1b88027422274fb33e1e22bf3dad5736e7,https://polymarket.com/profile/0x28065f1b88027422274fb33e1e22bf3dad5736e7,0,0,0,0,0,50,0,0
Culture,debased,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,https://polymarket.com/profile/0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0,0,0,0,0,50,0,0
Sports,fengdubiying,0x17db3fcd93ba12d38382a0cade24b200185c5f6d,https://polymarket.com/profile/0x17db3fcd93ba12d38382a0cade24b200185c5f6d,0,0,0,0,0,50,0,0
Politics,Fredi9999,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,https://polymarket.com/profile/0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,0,0,0,0,0,50,0,0
Politics,Len9311238,0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,https://polymarket.com/profile/0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,0,0,0,0,0,8,0,0
Politics,mikatrade77,0x23786fdad0073692157c6d7dc81f281843a35fcb,https://polymarket.com/profile/0x23786fdad0073692157c6d7dc81f281843a35fcb,0,0,0,0,0,7,0,0
Finance,NotGambid,0xd205ced392d30c050e42b0fe0a08787b7583859a,https://polymarket.com/profile/0xd205ced392d30c050e42b0fe0a08787b7583859a,0,0,0,0,0,7,0,0
Politics,PrincessCaro,0x8119010a6e589062aa03583bb3f39ca632d9f887,https://polymarket.com/profile/0x8119010a6e589062aa03583bb3f39ca632d9f887,0,0,0,0,0,21,0,0
Politics,RepTrump,0x863134d00841b2e200492805a01e1e2f5defaa53,https://polymarket.com/profile/0x863134d00841b2e200492805a01e1e2f5defaa53,0,0,0,0,0,8,0,0
Sports,tazcot,0x343d4466dc323b850e5249394894c7381d91456e,https://polymarket.com/profile/0x343d4466dc323b850e5249394894c7381d91456e,0,0,0,0,0,34,0,0
Politics,Theo4,0x56687bf447db6ffa42ffe2204a05edaa20f55839,https://polymarket.com/profile/0x56687bf447db6ffa42ffe2204a05edaa20f55839,0,0,0,0,0,22,0,0
Politics,walletmobile,0xe9ad918c7678cd38b12603a762e638a5d1ee7091,https://polymarket.com/profile/0xe9ad918c7678cd38b12603a762e638a5d1ee7091,0,0,0,0,0,1,0,0
Crypto,f705fa045201391d9632b7f3cde06a5e24453ca7,0xf705fa045201391d9632b7f3cde06a5e24453ca7,https://polymarket.com/profile/0xf705fa045201391d9632b7f3cde06a5e24453ca7,28,-169.77,317.27,30364.39,30194.63,50,0,-169.77
"Finance, Mentions",Apsalar,0xd42f6a1634a3707e27cbae14ca966068e5d1047d,https://polymarket.com/profile/0xd42f6a1634a3707e27cbae14ca966068e5d1047d,2,-249.96,0,20171.66,19921.7,50,0,-249.96
Mentions,MALDEMER,0xc6154a43bc53f7c267d295b29510a030c489221d,https://polymarket.com/profile/0xc6154a43bc53f7c267d295b29510a030c489221d,3,-552.66,-10.67,552.66,0,50,0,-552.66
